Lead_ID,Location,College,Year_of_Study,Program_Interest,Lead_Source
LD32418,Srinagar,"Government Medical College, Srinagar",1st,Electric Vehicle,College
LD32419,Agra,Dayalbagh Educational Institute,3rd,Prompt Engineering,Google Form
LD32420,Agra,Dayalbagh Educational Institute,2nd,Accounting,Mass-Mailing
LD32421,Mumbai,St. Xavier's College,1st,Prompt Engineering,Google Form
LD32422,Jaipur,Malaviya National Institute of Technology Jaipur,3rd,Robotics,Instagram
LD32423,Delhi,University of Delhi,3rd,AI,Mass-Mailing
LD32424,Mysore,University of Mysore,4th,AI,Google Form
LD32425,Varanasi,Ashoka Institute of Technology and Management,3rd,Accounting,Collaboration
LD32426,Lucknow,Babasaheb Bhimrao Ambedkar University,4th,Business Analytics,College
LD32427,Shimla,St. Bede's College,2nd,Robotics,Collaboration
LD32428,Agra,Dr. Bhimrao Ambedkar University,2nd,Finance,Instagram
LD32429,Ahmedabad,Indian Institute of Technology Gandhinagar,3rd,Accounting,College
LD32430,Hyderabad,Osmania University,3rd,Electric Vehicle,Instagram
LD32431,Kolkata,Indian Institute of Technology Kharagpur,4th,Software Engineering,WhatsApp
LD32432,Mumbai,Tata Institute of Social Sciences,4th,Prompt Engineering,Mass-Mailing
LD32433,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,1st,Data Analytics,WhatsApp
LD32434,Mysore,University of Mysore,2nd,Data Analytics,LinkedIn
LD32435,Ahmedabad,Gujarat University,4th,Finance,WhatsApp
LD32436,Chennai,University of Madras,3rd,Finance,Collaboration
LD32437,Bangalore,RV College of Engineering,4th,Electric Vehicle,Collaboration
LD32438,Chennai,Indian Institute of Technology Madras,2nd,Finance,Google Form
LD32439,Agra,Dayalbagh Educational Institute,1st,AI,Instagram
LD32440,Agra,St. John's College,1st,Prompt Engineering,WhatsApp
LD32441,Amritsar,BBK DAV College for Women,1st,Electric Vehicle,WhatsApp
LD32442,Udaipur,Mohanlal Sukhadia University,1st,Software Engineering,Google Form
LD32443,Pune,Fergusson College,1st,Business Analytics,Collaboration
LD32444,Rishikesh,Uttarakhand Sanskrit University,1st,Data Science,Instagram
LD32445,Jaipur,University of Rajasthan,1st,AI,Instagram
LD32446,Mumbai,Tata Institute of Social Sciences,4th,Software Engineering,Collaboration
LD32447,Goa,National Institute of Oceanography,3rd,Data Science,Collaboration
LD32448,Mumbai,Narsee Monjee Institute of Management Studies,2nd,Data Science,WhatsApp
LD32449,Pune,Fergusson College,1st,Software Engineering,Google Form
LD32450,Srinagar,University of Kashmir,3rd,Robotics,Mass-Mailing
LD32451,Chennai,Anna University,3rd,Accounting,Instagram
LD32452,Delhi,Indian Institute of Technology Delhi,2nd,Electric Vehicle,College
LD32453,Kolkata,Jadavpur University,3rd,Electric Vehicle,LinkedIn
LD32454,Amritsar,Sri Guru Ram Das University of Health Sciences,3rd,Software Engineering,LinkedIn
LD32455,Amritsar,"Hindu College, Amritsar",3rd,AI,Google Form
LD32456,Bangalore,RV College of Engineering,2nd,Finance,Mass-Mailing
LD32457,Srinagar,University of Kashmir,2nd,Finance,College
LD32458,Delhi,Jawaharlal Nehru University,2nd,Data Analytics,LinkedIn
LD32459,Shimla,Indian Institute of Advanced Study,2nd,Prompt Engineering,WhatsApp
LD32460,Varanasi,Central Hindu School,2nd,Data Science,Mass-Mailing
LD32461,Ahmedabad,Nirma University,2nd,Software Engineering,Google Form
LD32462,Chennai,Indian Institute of Technology Madras,4th,Data Science,College
LD32463,Delhi,Indian Institute of Technology Delhi,1st,Electric Vehicle,WhatsApp
LD32464,Kolkata,Jadavpur University,4th,Data Analytics,LinkedIn
LD32465,Mumbai,Narsee Monjee Institute of Management Studies,4th,AI,Collaboration
LD32466,Amritsar,Sri Guru Ram Das University of Health Sciences,4th,Data Science,WhatsApp
LD32467,Chennai,Anna University,1st,Software Engineering,Collaboration
LD32468,Varanasi,Mahatma Gandhi Kashi Vidyapith,1st,Robotics,WhatsApp
LD32469,Amritsar,BBK DAV College for Women,2nd,Accounting,College
LD32470,Varanasi,Central Hindu School,1st,Finance,Google Form
LD32471,Chennai,Anna University,1st,Software Engineering,Collaboration
LD32472,Jaipur,Malaviya National Institute of Technology Jaipur,4th,AI,College
LD32473,Shimla,Indian Institute of Advanced Study,4th,Robotics,Instagram
LD32474,Jaipur,Malaviya National Institute of Technology Jaipur,2nd,Accounting,WhatsApp
LD32475,Mumbai,University of Mumbai,1st,Electric Vehicle,LinkedIn
LD32476,Srinagar,Amar Singh College,3rd,Business Analytics,Instagram
LD32477,Rishikesh,Sri Hemkunt Sahib Public School,2nd,Electric Vehicle,Instagram
LD32478,Pune,Indian Institute of Technology Pune,3rd,AI,College
LD32479,Mumbai,Narsee Monjee Institute of Management Studies,1st,Data Science,WhatsApp
LD32480,Mysore,Mahajana Education Society,2nd,Data Science,Instagram
LD32481,Mumbai,Narsee Monjee Institute of Management Studies,1st,Finance,WhatsApp
LD32482,Agra,Dr. Bhimrao Ambedkar University,1st,Software Engineering,Mass-Mailing
LD32483,Delhi,Jamia Millia Islamia,2nd,Robotics,Google Form
LD32484,Agra,Agra College,1st,Finance,College
LD32485,Varanasi,Central Hindu School,4th,Prompt Engineering,LinkedIn
LD32486,Mumbai,Narsee Monjee Institute of Management Studies,2nd,Robotics,Collaboration
LD32487,Goa,Goa College of Engineering,3rd,Electric Vehicle,Instagram
LD32488,Goa,National Institute of Oceanography,4th,AI,WhatsApp
LD32489,Mysore,JSS Academy of Higher Education & Research,2nd,Software Engineering,College
LD32490,Amritsar,"Khalsa College, Amritsar",2nd,Software Engineering,WhatsApp
LD32491,Bangalore,Bangalore University,3rd,AI,Mass-Mailing
LD32492,Shimla,Himachal Pradesh University,3rd,AI,LinkedIn
LD32493,Ahmedabad,CEPT University,2nd,Data Science,WhatsApp
LD32494,Chennai,Loyola College,3rd,Finance,Instagram
LD32495,Kolkata,Presidency University,2nd,Data Analytics,WhatsApp
LD32496,Pune,"College of Engineering, Pune",3rd,Data Science,Instagram
LD32497,Jaipur,"St. Xavier's College, Jaipur",2nd,Electric Vehicle,College
LD32498,Rishikesh,Uttarakhand Sanskrit University,4th,Software Engineering,WhatsApp
LD32499,Varanasi,Banaras Hindu University,4th,AI,Mass-Mailing
LD32500,Chennai,Indian Institute of Technology Madras,2nd,Business Analytics,Collaboration
LD32501,Kolkata,Jadavpur University,3rd,Business Analytics,LinkedIn
LD32502,Lucknow,Indian Institute of Management Lucknow,4th,Software Engineering,Instagram
LD32503,Delhi,Jamia Millia Islamia,3rd,Prompt Engineering,Instagram
LD32504,Bangalore,RV College of Engineering,3rd,Software Engineering,LinkedIn
LD32505,Rishikesh,Dev Sanskriti Vishwavidyalaya,3rd,Finance,Google Form
LD32506,Delhi,Jamia Millia Islamia,1st,Prompt Engineering,Google Form
LD32507,Delhi,Jamia Millia Islamia,1st,Electric Vehicle,Google Form
LD32508,Chennai,Loyola College,1st,Software Engineering,Google Form
LD32509,Rishikesh,Uttarakhand Sanskrit University,4th,Data Science,College
LD32510,Goa,"Birla Institute of Technology and Science, Goa",2nd,Robotics,Collaboration
LD32511,Varanasi,Central Hindu School,2nd,AI,Mass-Mailing
LD32512,Rishikesh,Parmarth Niketan,4th,Accounting,LinkedIn
LD32513,Shimla,"DAV Centenary Public School, Shimla",1st,Business Analytics,Mass-Mailing
LD32514,Varanasi,Banaras Hindu University,3rd,Finance,Mass-Mailing
LD32515,Goa,"Birla Institute of Technology and Science, Goa",1st,Business Analytics,Google Form
LD32516,Pune,Symbiosis International University,1st,Accounting,Google Form
LD32517,Jaipur,Manipal University Jaipur,4th,Electric Vehicle,LinkedIn
LD32518,Shimla,Himachal Pradesh University,3rd,Electric Vehicle,LinkedIn
LD32519,Mysore,All India Institute of Speech and Hearing,2nd,Finance,Mass-Mailing
LD32520,Kolkata,Presidency University,2nd,Data Analytics,Mass-Mailing
LD32521,Kolkata,University of Calcutta,1st,AI,College
LD32522,Lucknow,Babasaheb Bhimrao Ambedkar University,3rd,Data Analytics,Collaboration
LD32523,Chennai,University of Madras,3rd,Data Analytics,College
LD32524,Shimla,Himachal Pradesh University,3rd,Robotics,Instagram
LD32525,Lucknow,University of Lucknow,2nd,Data Analytics,Collaboration
LD32526,Udaipur,Pacific University,4th,Software Engineering,Mass-Mailing
LD32527,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",1st,Electric Vehicle,College
LD32528,Mysore,JSS Academy of Higher Education & Research,4th,Data Science,Google Form
LD32529,Delhi,Indian Institute of Technology Delhi,1st,Software Engineering,Collaboration
LD32530,Varanasi,Sampurnanand Sanskrit University,1st,Electric Vehicle,Collaboration
LD32531,Ahmedabad,Indian Institute of Management Ahmedabad,2nd,Accounting,Mass-Mailing
LD32532,Agra,Dayalbagh Educational Institute,4th,Robotics,College
LD32533,Srinagar,National Institute of Technology Srinagar,3rd,Accounting,Google Form
LD32534,Delhi,All India Institute of Medical Sciences,3rd,Electric Vehicle,Google Form
LD32535,Shimla,Indian Institute of Advanced Study,2nd,Business Analytics,WhatsApp
LD32536,Rishikesh,Dev Sanskriti Vishwavidyalaya,2nd,Data Analytics,Google Form
LD32537,Udaipur,Maharana Pratap University of Agriculture and Technology,3rd,Accounting,WhatsApp
LD32538,Mumbai,St. Xavier's College,2nd,Accounting,LinkedIn
LD32539,Srinagar,Amar Singh College,1st,AI,College
LD32540,Lucknow,University of Lucknow,4th,AI,Mass-Mailing
LD32541,Varanasi,Sampurnanand Sanskrit University,4th,Electric Vehicle,Collaboration
LD32542,Srinagar,University of Kashmir,2nd,Software Engineering,LinkedIn
LD32543,Agra,Dayalbagh Educational Institute,1st,Prompt Engineering,WhatsApp
LD32544,Chennai,Madras Christian College,4th,Data Science,College
LD32545,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",4th,Accounting,Collaboration
LD32546,Udaipur,Mohanlal Sukhadia University,2nd,Data Science,Instagram
LD32547,Lucknow,"Amity University, Lucknow",3rd,Data Analytics,WhatsApp
LD32548,Goa,National Institute of Oceanography,1st,Finance,Instagram
LD32549,Udaipur,Mohanlal Sukhadia University,3rd,AI,College
LD32550,Mumbai,University of Mumbai,2nd,AI,Instagram
LD32551,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",4th,Robotics,Google Form
LD32552,Jaipur,Manipal University Jaipur,2nd,Finance,LinkedIn
LD32553,Chennai,Anna University,2nd,Finance,Mass-Mailing
LD32554,Delhi,Jawaharlal Nehru University,4th,Software Engineering,College
LD32555,Goa,Goa University,3rd,Data Analytics,WhatsApp
LD32556,Pune,Fergusson College,2nd,AI,LinkedIn
LD32557,Shimla,Indira Gandhi Medical College,3rd,AI,Google Form
LD32558,Mysore,JSS Academy of Higher Education & Research,3rd,Data Science,LinkedIn
LD32559,Agra,Agra College,1st,Finance,Collaboration
LD32560,Chennai,Anna University,3rd,Data Science,Instagram
LD32561,Varanasi,Mahatma Gandhi Kashi Vidyapith,2nd,Accounting,College
LD32562,Srinagar,Amar Singh College,4th,Data Science,Collaboration
LD32563,Shimla,Indira Gandhi Medical College,4th,AI,Google Form
LD32564,Kolkata,Indian Institute of Technology Kharagpur,2nd,Finance,LinkedIn
LD32565,Varanasi,Sampurnanand Sanskrit University,4th,Accounting,Mass-Mailing
LD32566,Varanasi,Ashoka Institute of Technology and Management,1st,Electric Vehicle,College
LD32567,Mumbai,Tata Institute of Social Sciences,1st,Robotics,College
LD32568,Amritsar,Sri Guru Ram Das University of Health Sciences,3rd,Data Science,Instagram
LD32569,Kolkata,Indian Institute of Technology Kharagpur,1st,Robotics,Google Form
LD32570,Lucknow,King George's Medical University,4th,Robotics,Instagram
LD32571,Mumbai,Narsee Monjee Institute of Management Studies,3rd,Accounting,Collaboration
LD32572,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",2nd,Robotics,College
LD32573,Bangalore,Indian Institute of Management Bangalore,1st,Finance,Google Form
LD32574,Pune,Symbiosis International University,1st,Accounting,Instagram
LD32575,Agra,Dayalbagh Educational Institute,2nd,Business Analytics,Mass-Mailing
LD32576,Rishikesh,Dev Sanskriti Vishwavidyalaya,3rd,AI,Google Form
LD32577,Lucknow,University of Lucknow,1st,Data Analytics,Instagram
LD32578,Mumbai,Narsee Monjee Institute of Management Studies,2nd,AI,WhatsApp
LD32579,Hyderabad,University of Hyderabad,4th,Electric Vehicle,Collaboration
LD32580,Chennai,Indian Institute of Technology Madras,3rd,Software Engineering,Mass-Mailing
LD32581,Shimla,"DAV Centenary Public School, Shimla",4th,Accounting,LinkedIn
LD32582,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",4th,Electric Vehicle,Mass-Mailing
LD32583,Hyderabad,Indian Institute of Technology Hyderabad,1st,Prompt Engineering,College
LD32584,Pune,University of Pune,3rd,Electric Vehicle,LinkedIn
LD32585,Srinagar,University of Kashmir,1st,Business Analytics,Google Form
LD32586,Mumbai,Tata Institute of Social Sciences,4th,AI,College
LD32587,Mysore,JSS Academy of Higher Education & Research,2nd,Data Analytics,Collaboration
LD32588,Mysore,Mahajana Education Society,4th,Robotics,Collaboration
LD32589,Kolkata,Indian Institute of Technology Kharagpur,4th,Business Analytics,College
LD32590,Lucknow,Indian Institute of Management Lucknow,3rd,Data Analytics,Mass-Mailing
LD32591,Jaipur,"St. Xavier's College, Jaipur",1st,Finance,Google Form
LD32592,Lucknow,King George's Medical University,3rd,Electric Vehicle,Instagram
LD32593,Udaipur,Mohanlal Sukhadia University,2nd,Data Analytics,Instagram
LD32594,Amritsar,"Hindu College, Amritsar",3rd,Business Analytics,College
LD32595,Shimla,Himachal Pradesh University,4th,Data Science,LinkedIn
LD32596,Hyderabad,University of Hyderabad,3rd,Prompt Engineering,Google Form
LD32597,Varanasi,Central Hindu School,3rd,Data Analytics,Instagram
LD32598,Bangalore,Indian Institute of Science,3rd,Finance,Google Form
LD32599,Lucknow,University of Lucknow,4th,Business Analytics,College
LD32600,Mumbai,Indian Institute of Technology Bombay,3rd,Data Science,Collaboration
LD32601,Chennai,Loyola College,4th,Prompt Engineering,Collaboration
LD32602,Pune,Symbiosis International University,2nd,AI,Collaboration
LD32603,Udaipur,Maharana Pratap University of Agriculture and Technology,4th,Electric Vehicle,Instagram
LD32604,Pune,Symbiosis International University,2nd,Accounting,Mass-Mailing
LD32605,Chennai,Loyola College,2nd,Prompt Engineering,Collaboration
LD32606,Lucknow,Indian Institute of Management Lucknow,3rd,Software Engineering,Google Form
LD32607,Shimla,"DAV Centenary Public School, Shimla",4th,Finance,Collaboration
LD32608,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,2nd,Accounting,WhatsApp
LD32609,Udaipur,Maharana Pratap University of Agriculture and Technology,1st,Robotics,WhatsApp
LD32610,Amritsar,BBK DAV College for Women,1st,Robotics,College
LD32611,Amritsar,BBK DAV College for Women,2nd,Data Analytics,LinkedIn
LD32612,Kolkata,University of Calcutta,1st,Finance,Google Form
LD32613,Bangalore,Bangalore University,1st,Data Science,College
LD32614,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,3rd,Electric Vehicle,Collaboration
LD32615,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,1st,AI,Mass-Mailing
LD32616,Bangalore,Indian Institute of Management Bangalore,3rd,Business Analytics,Instagram
LD32617,Mumbai,Tata Institute of Social Sciences,2nd,Software Engineering,WhatsApp
LD32618,Varanasi,Ashoka Institute of Technology and Management,4th,Prompt Engineering,Google Form
LD32619,Amritsar,"Khalsa College, Amritsar",2nd,Software Engineering,LinkedIn
LD32620,Ahmedabad,Indian Institute of Management Ahmedabad,3rd,Business Analytics,LinkedIn
LD32621,Ahmedabad,Nirma University,2nd,Data Science,College
LD32622,Pune,University of Pune,3rd,Electric Vehicle,Google Form
LD32623,Rishikesh,Uttarakhand Sanskrit University,1st,Prompt Engineering,Google Form
LD32624,Pune,Indian Institute of Technology Pune,1st,AI,College
LD32625,Srinagar,National Institute of Technology Srinagar,3rd,AI,College
LD32626,Rishikesh,Sri Hemkunt Sahib Public School,2nd,Business Analytics,Collaboration
LD32627,Udaipur,Vidya Bhawan Polytechnic College,3rd,Prompt Engineering,College
LD32628,Shimla,St. Bede's College,1st,Finance,Google Form
LD32629,Lucknow,University of Lucknow,3rd,Electric Vehicle,WhatsApp
LD32630,Mumbai,University of Mumbai,2nd,Accounting,College
LD32631,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,3rd,Software Engineering,Mass-Mailing
LD32632,Varanasi,Ashoka Institute of Technology and Management,1st,Software Engineering,Mass-Mailing
LD32633,Jaipur,Manipal University Jaipur,2nd,Prompt Engineering,Instagram
LD32634,Hyderabad,Indian Institute of Technology Hyderabad,3rd,Prompt Engineering,WhatsApp
LD32635,Agra,Agra College,3rd,Data Science,Instagram
LD32636,Delhi,University of Delhi,2nd,Electric Vehicle,Collaboration
LD32637,Shimla,Himachal Pradesh University,4th,Robotics,WhatsApp
LD32638,Jaipur,Malaviya National Institute of Technology Jaipur,1st,Data Science,WhatsApp
LD32639,Lucknow,University of Lucknow,4th,AI,LinkedIn
LD32640,Hyderabad,Osmania University,4th,AI,Google Form
LD32641,Bangalore,Bangalore University,4th,Business Analytics,LinkedIn
LD32642,Kolkata,Presidency University,4th,Electric Vehicle,Collaboration
LD32643,Jaipur,Manipal University Jaipur,3rd,Data Science,Google Form
LD32644,Pune,Indian Institute of Technology Pune,1st,Prompt Engineering,Mass-Mailing
LD32645,Kolkata,Indian Statistical Institute,4th,Robotics,WhatsApp
LD32646,Delhi,Jamia Millia Islamia,1st,Business Analytics,Google Form
LD32647,Agra,Hindustan College of Science and Technology,2nd,Accounting,Google Form
LD32648,Agra,St. John's College,2nd,AI,LinkedIn
LD32649,Goa,"Birla Institute of Technology and Science, Goa",3rd,Accounting,College
LD32650,Mysore,"National Institute of Engineering, Mysore",3rd,Data Analytics,Mass-Mailing
LD32651,Udaipur,Maharana Pratap University of Agriculture and Technology,2nd,Business Analytics,Collaboration
LD32652,Pune,Fergusson College,1st,Robotics,LinkedIn
LD32653,Chennai,Loyola College,1st,Robotics,Google Form
LD32654,Varanasi,Sampurnanand Sanskrit University,3rd,Data Science,WhatsApp
LD32655,Chennai,Madras Christian College,1st,Business Analytics,Mass-Mailing
LD32656,Amritsar,Sri Guru Ram Das University of Health Sciences,2nd,Software Engineering,LinkedIn
LD32657,Jaipur,"St. Xavier's College, Jaipur",1st,Business Analytics,Collaboration
LD32658,Delhi,University of Delhi,3rd,Data Analytics,WhatsApp
LD32659,Chennai,Anna University,4th,Business Analytics,WhatsApp
LD32660,Pune,Fergusson College,4th,Robotics,LinkedIn
LD32661,Srinagar,University of Kashmir,4th,Accounting,LinkedIn
LD32662,Srinagar,"Government Medical College, Srinagar",2nd,Data Science,Collaboration
LD32663,Udaipur,Maharana Pratap University of Agriculture and Technology,4th,Robotics,Mass-Mailing
LD32664,Udaipur,Pacific University,4th,AI,WhatsApp
LD32665,Pune,University of Pune,2nd,Business Analytics,Collaboration
LD32666,Agra,Hindustan College of Science and Technology,3rd,Accounting,Instagram
LD32667,Jaipur,University of Rajasthan,3rd,Prompt Engineering,Google Form
LD32668,Chennai,Madras Christian College,4th,Electric Vehicle,WhatsApp
LD32669,Mumbai,Tata Institute of Social Sciences,2nd,Data Analytics,WhatsApp
LD32670,Mysore,All India Institute of Speech and Hearing,3rd,Accounting,Mass-Mailing
LD32671,Mysore,"National Institute of Engineering, Mysore",2nd,Data Analytics,Google Form
LD32672,Udaipur,Maharana Pratap University of Agriculture and Technology,2nd,Business Analytics,Instagram
LD32673,Pune,Symbiosis International University,2nd,Finance,Instagram
LD32674,Agra,Hindustan College of Science and Technology,4th,Data Science,College
LD32675,Ahmedabad,Indian Institute of Technology Gandhinagar,2nd,Data Science,Mass-Mailing
LD32676,Kolkata,Indian Statistical Institute,4th,Data Science,Collaboration
LD32677,Goa,"Birla Institute of Technology and Science, Goa",2nd,Data Analytics,College
LD32678,Pune,Symbiosis International University,2nd,Robotics,Mass-Mailing
LD32679,Agra,Agra College,3rd,Software Engineering,Collaboration
LD32680,Pune,"College of Engineering, Pune",3rd,Prompt Engineering,Google Form
LD32681,Bangalore,RV College of Engineering,4th,Software Engineering,WhatsApp
LD32682,Shimla,Indian Institute of Advanced Study,2nd,Data Analytics,College
LD32683,Varanasi,Sampurnanand Sanskrit University,3rd,Software Engineering,Collaboration
LD32684,Varanasi,Ashoka Institute of Technology and Management,3rd,Prompt Engineering,College
LD32685,Mysore,JSS Academy of Higher Education & Research,4th,AI,Mass-Mailing
LD32686,Mumbai,Narsee Monjee Institute of Management Studies,3rd,Software Engineering,College
LD32687,Varanasi,Banaras Hindu University,3rd,Prompt Engineering,College
LD32688,Amritsar,"Hindu College, Amritsar",1st,Business Analytics,Instagram
LD32689,Agra,Agra College,1st,Accounting,Instagram
LD32690,Chennai,University of Madras,3rd,Electric Vehicle,LinkedIn
LD32691,Lucknow,Babasaheb Bhimrao Ambedkar University,3rd,Robotics,Collaboration
LD32692,Bangalore,RV College of Engineering,2nd,Finance,LinkedIn
LD32693,Shimla,Himachal Pradesh University,2nd,Robotics,Google Form
LD32694,Varanasi,Sampurnanand Sanskrit University,2nd,Data Analytics,LinkedIn
LD32695,Delhi,Jawaharlal Nehru University,4th,Robotics,Collaboration
LD32696,Goa,Goa College of Engineering,2nd,Software Engineering,Google Form
LD32697,Ahmedabad,Gujarat University,2nd,Data Analytics,WhatsApp
LD32698,Chennai,Madras Christian College,4th,AI,WhatsApp
LD32699,Lucknow,Babasaheb Bhimrao Ambedkar University,2nd,Software Engineering,Collaboration
LD32700,Delhi,All India Institute of Medical Sciences,3rd,Robotics,LinkedIn
LD32701,Pune,University of Pune,2nd,Robotics,Collaboration
LD32702,Pune,Indian Institute of Technology Pune,1st,Accounting,WhatsApp
LD32703,Hyderabad,Osmania University,3rd,Robotics,College
LD32704,Mysore,University of Mysore,1st,Accounting,WhatsApp
LD32705,Goa,Goa College of Engineering,4th,Accounting,Google Form
LD32706,Mumbai,Indian Institute of Technology Bombay,4th,Electric Vehicle,College
LD32707,Rishikesh,Uttarakhand Sanskrit University,4th,Robotics,Mass-Mailing
LD32708,Delhi,Jamia Millia Islamia,1st,Electric Vehicle,Mass-Mailing
LD32709,Srinagar,"Government Medical College, Srinagar",3rd,AI,Mass-Mailing
LD32710,Kolkata,Indian Institute of Technology Kharagpur,2nd,Electric Vehicle,Instagram
LD32711,Delhi,University of Delhi,4th,Electric Vehicle,WhatsApp
LD32712,Jaipur,"St. Xavier's College, Jaipur",2nd,Business Analytics,College
LD32713,Amritsar,"Khalsa College, Amritsar",2nd,Finance,College
LD32714,Hyderabad,Osmania University,1st,Software Engineering,Google Form
LD32715,Mysore,"National Institute of Engineering, Mysore",4th,Finance,College
LD32716,Mumbai,University of Mumbai,2nd,Accounting,Collaboration
LD32717,Chennai,Anna University,1st,Electric Vehicle,Mass-Mailing
LD32718,Shimla,Indian Institute of Advanced Study,2nd,Robotics,Collaboration
LD32719,Agra,Hindustan College of Science and Technology,1st,Data Science,Google Form
LD32720,Udaipur,Pacific University,3rd,AI,LinkedIn
LD32721,Goa,"Birla Institute of Technology and Science, Goa",3rd,Accounting,Google Form
LD32722,Mumbai,Narsee Monjee Institute of Management Studies,3rd,Business Analytics,Collaboration
LD32723,Agra,Dayalbagh Educational Institute,2nd,Data Science,Instagram
LD32724,Jaipur,Malaviya National Institute of Technology Jaipur,1st,AI,LinkedIn
LD32725,Mysore,"National Institute of Engineering, Mysore",4th,Robotics,LinkedIn
LD32726,Varanasi,Banaras Hindu University,3rd,Prompt Engineering,WhatsApp
LD32727,Kolkata,University of Calcutta,1st,AI,College
LD32728,Delhi,Jawaharlal Nehru University,3rd,Business Analytics,College
LD32729,Agra,St. John's College,2nd,Electric Vehicle,Google Form
LD32730,Udaipur,Mohanlal Sukhadia University,3rd,Robotics,Collaboration
LD32731,Chennai,University of Madras,2nd,Prompt Engineering,LinkedIn
LD32732,Shimla,"DAV Centenary Public School, Shimla",3rd,Business Analytics,Collaboration
LD32733,Delhi,All India Institute of Medical Sciences,4th,Electric Vehicle,LinkedIn
LD32734,Ahmedabad,Indian Institute of Management Ahmedabad,2nd,Robotics,LinkedIn
LD32735,Ahmedabad,Indian Institute of Management Ahmedabad,2nd,Prompt Engineering,College
LD32736,Lucknow,University of Lucknow,4th,Robotics,WhatsApp
LD32737,Jaipur,"Birla Institute of Technology and Science, Pilani",3rd,AI,Instagram
LD32738,Udaipur,Pacific University,3rd,Data Analytics,Instagram
LD32739,Srinagar,"Government Medical College, Srinagar",3rd,Finance,Mass-Mailing
LD32740,Delhi,Indian Institute of Technology Delhi,4th,Data Science,Mass-Mailing
LD32741,Amritsar,BBK DAV College for Women,1st,Software Engineering,Google Form
LD32742,Agra,Agra College,1st,Robotics,Mass-Mailing
LD32743,Mysore,JSS Academy of Higher Education & Research,1st,Software Engineering,Collaboration
LD32744,Udaipur,Pacific University,1st,Electric Vehicle,Instagram
LD32745,Mumbai,St. Xavier's College,1st,Data Analytics,Google Form
LD32746,Ahmedabad,Gujarat University,1st,Electric Vehicle,LinkedIn
LD32747,Udaipur,Mohanlal Sukhadia University,3rd,Data Analytics,Instagram
LD32748,Mumbai,St. Xavier's College,2nd,Business Analytics,Collaboration
LD32749,Hyderabad,Osmania University,2nd,Finance,Collaboration
LD32750,Shimla,"DAV Centenary Public School, Shimla",4th,AI,Google Form
LD32751,Goa,Goa University,4th,AI,Instagram
LD32752,Mysore,Mahajana Education Society,4th,Electric Vehicle,WhatsApp
LD32753,Goa,National Institute of Oceanography,1st,AI,Google Form
LD32754,Amritsar,BBK DAV College for Women,4th,Software Engineering,Mass-Mailing
LD32755,Bangalore,RV College of Engineering,4th,Prompt Engineering,Collaboration
LD32756,Agra,Dayalbagh Educational Institute,1st,Data Analytics,Google Form
LD32757,Agra,Dr. Bhimrao Ambedkar University,4th,Robotics,WhatsApp
LD32758,Delhi,Jawaharlal Nehru University,2nd,Prompt Engineering,Collaboration
LD32759,Amritsar,BBK DAV College for Women,3rd,Accounting,WhatsApp
LD32760,Varanasi,Ashoka Institute of Technology and Management,1st,Business Analytics,WhatsApp
LD32761,Shimla,Himachal Pradesh University,2nd,Business Analytics,Mass-Mailing
LD32762,Delhi,Indian Institute of Technology Delhi,3rd,Prompt Engineering,LinkedIn
LD32763,Lucknow,"Amity University, Lucknow",3rd,Finance,LinkedIn
LD32764,Mumbai,Narsee Monjee Institute of Management Studies,3rd,Accounting,Mass-Mailing
LD32765,Agra,Agra College,4th,Accounting,Collaboration
LD32766,Shimla,St. Bede's College,4th,Finance,Mass-Mailing
LD32767,Varanasi,Ashoka Institute of Technology and Management,4th,Software Engineering,LinkedIn
LD32768,Varanasi,Ashoka Institute of Technology and Management,3rd,Data Science,Mass-Mailing
LD32769,Ahmedabad,Indian Institute of Management Ahmedabad,4th,Data Science,Google Form
LD32770,Rishikesh,Dev Sanskriti Vishwavidyalaya,1st,AI,College
LD32771,Mysore,All India Institute of Speech and Hearing,2nd,Accounting,College
LD32772,Jaipur,"St. Xavier's College, Jaipur",3rd,AI,LinkedIn
LD32773,Mumbai,St. Xavier's College,1st,Business Analytics,Google Form
LD32774,Hyderabad,Osmania University,3rd,Data Analytics,LinkedIn
LD32775,Jaipur,"St. Xavier's College, Jaipur",3rd,AI,LinkedIn
LD32776,Delhi,University of Delhi,4th,Finance,College
LD32777,Rishikesh,Dev Sanskriti Vishwavidyalaya,4th,Finance,Collaboration
LD32778,Srinagar,"Government Medical College, Srinagar",4th,Data Science,Google Form
LD32779,Agra,Dayalbagh Educational Institute,1st,Business Analytics,Instagram
LD32780,Shimla,Himachal Pradesh University,3rd,Prompt Engineering,College
